Name,Status,Date,Country,"Journalist or Media Worker",Motive,"Type of Death","cpj.org URL"
"Areej Shaheen",Killed,"January 3, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/areej-shaheen/
"Assem Al-Barsh",Killed,"November 22, 2023","Israel and the Occupied Palestinian Territory",Al-Rai,Confirmed,,https://cpj.org/data/people/assem-al-barsh/
"Assem Kamal Moussa",Killed,"December 17, 2023","Israel and the Occupied Palestinian Territory","Palestine Now",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/assem-kamal-moussa/
"Ayat Khadoura",Killed,"November 20, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ayat-khadoura/
"Ayman Al Gedi",Killed,"December 26, 2024","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm",Confirmed,Murder,https://cpj.org/data/people/ayman-al-gedi/
"Ayman Al-Gharbawi",Killed,"April 26, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ayman-al-gharbawi/
"Ayman Al-Rafati",Killed,"February 14, 2024","Israel and the Occupied Palestinian Territory","Al Mayadeen",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ayman-al-rafati/
"Ayman Haniyeh",Killed,"September 2, 2025","Israel and the Occupied Palestinian Territory","Al-Manara Television Production Company",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ayman-haniyeh/
"Bahaaddine Yassine",Killed,"May 10, 2024","Israel and the Occupied Palestinian Territory","Watan Media Agency, Al-Quds News Network",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/bahaaddine-yassine/
"Bilal Jadallah",Killed,"November 19, 2023","Israel and the Occupied Palestinian Territory","Press House-Palestine",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/bilal-jadallah/
"Bilal Rajab",Killed,"November 1, 2024","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/bilal-rajab/
"Duaa Jabbour",Killed,"December 9, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/duaa-jabbour/
"Duaa Sharaf",Killed,"October 26, 2023","Israel and the Occupied Palestinian Territory","Radio Al-Aqsa",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/duaa-sharaf/
"Fadi Hassouna",Killed,"December 26, 2024","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm",Confirmed,Murder,https://cpj.org/data/people/fadi-hassouna/
"Faisal Abu Al Qumsan",Killed,"December 26, 2024","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm",Confirmed,Murder,https://cpj.org/data/people/faisal-abu-al-qumsan/
"Fatma Hassona",Killed,"April 16, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/fatma-hassona/
"Hamada Al-Yaziji",Killed,"December 3, 2023","Israel and the Occupied Palestinian Territory","Kanaan News Agency, Al-Quds Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hamada-al-yaziji/
"Hamza Al Dahdouh",Killed,"January 7, 2024","Israel and the Occupied Palestinian Territory",Al-Jazeera,Confirmed,Murder,https://cpj.org/data/people/hamza-al-dahdouh/
"Hamza Murtaja",Killed,"August 20, 2024","Israel and the Occupied Palestinian Territory","Record Media",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hamza-murtaja/
"Haneen Baroud",Killed,"October 27, 2024","Israel and the Occupied Palestinian Territory","Al Majedat Media Network",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/haneen-baroud/
"Haneen Kashtan",Killed,"December 17, 2023","Israel and the Occupied Palestinian Territory","TV Al-Kofiya,Baladna Web TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/haneen-kashtan/
"Hassan Abu Warda",Killed,"May 25, 2025","Israel and the Occupied Palestinian Territory","Barq Gaza",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hassan-abu-warda/
"Hassan Al-Qishawi",Killed,"January 2, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hassan-al-qishawi/
"Hassan Farajallah",Killed,"December 3, 2023","Israel and the Occupied Palestinian Territory","Al Quds TV",Confirmed,,https://cpj.org/data/people/hassan-farajallah/
"Hassan Samour",Killed,"May 15, 2025","Israel and the Occupied Palestinian Territory","Al Aqsa Voice Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hassan-samour/
"Hassouneh Salim",Killed,"November 18, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hassouneh-salim/
"Heba Al-Abadla",Killed,"January 9, 2024","Israel and the Occupied Palestinian Territory","Al-Azhar Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/heba-al-abadla/
"Hilmi al-Faqaawi",Killed,"April 7, 2025","Israel and the Occupied Palestinian Territory","Palestine Today TV",Confirmed,Murder,https://cpj.org/data/people/hilmi-al-faqaawi/
"Hisham Alnwajha",Killed,"October 9, 2023","Israel and the Occupied Palestinian Territory","“Khabar” News Agency",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hisham-alnwajha/
"Hossam Shabat",Killed,"March 24, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Murder,https://cpj.org/data/people/hossam-shabat/
"Husam Mubarak",Killed,"October 13, 2023","Israel and the Occupied Palestinian Territory","Al-Aqsa Voice Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/husam-mubarak/
"Hussam al-Dabbaka",Killed,"August 22, 2024","Israel and the Occupied Palestinian Territory","Freelance, Al Quds Al-Youm",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hussam-al-dabbaka/
"Hussam Al-Masri",Killed,"August 25, 2025","Israel and the Occupied Palestinian Territory",Reuters,Confirmed,Unknown,https://cpj.org/data/people/hussam-al-masri/
"Ibrahim Al-Gharbawi",Killed,"April 26, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ibrahim-al-gharbawi/
"Ibrahim Marzouq",Killed,"October 24, 2023","Israel and the Occupied Palestinian Territory","Palestine Today TV",Confirmed,,https://cpj.org/data/people/ibrahim-marzouq/
"Ibrahim Mohammad Lafi",Killed,"October 7, 2023","Israel and the Occupied Palestinian Territory","Ain Media",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ibrahim-mohammad-lafi/
"Ibrahim Muhareb",Killed,"August 18, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ibrahim-muhareb/
"Ibrahim Sheikh Ali",Killed,"December 26, 2024","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm TV",Confirmed,,https://cpj.org/data/people/ibrahim-sheikh-ali/
"Ibrahim Zaher",Killed,"August 10, 2025","Israel and the Occupied Palestinian Territory","Al Jazeera",Confirmed,Murder,https://cpj.org/data/people/ibrahim-zaher/
"Imad Al-Wahidi",Killed,"October 31, 2023","Israel and the Occupied Palestinian Territory","Palestine TV",Confirmed,,https://cpj.org/data/people/imad-al-wahidi/
"Iman Al Shanti",Killed,"December 11, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/iman-al-shanti/
"Islam Abed",Killed,"August 31, 2025","Israel and the Occupied Palestinian Territory","Al Quds Today TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/islam-abed/
"Ismail Abu Hatab",Killed,"June 30, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ismail-abu-hatab/
"Ismail Al Ghoul",Killed,"July 31, 2024","Israel and the Occupied Palestinian Territory","Al Jazeera Arabic",Confirmed,Murder,https://cpj.org/data/people/ismail-al-ghoul/
"Ismail Baddah",Killed,"June 5, 2025","Israel and the Occupied Palestinian Territory","Palestine Today TV",Confirmed,Murder,https://cpj.org/data/people/ismail-baddah/
"Issam Bhar",Killed,"October 17, 2023","Israel and the Occupied Palestinian Territory","Al-Aqsa TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/issam-bhar/
"Iyad El-Ruwagh",Killed,"January 25, 2024","Israel and the Occupied Palestinian Territory","Al-Aqsa Voice Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/iyad-el-ruwagh/
"Iyad Matar",Killed,"November 1, 2023","Israel and the Occupied Palestinian Territory","Al-Aqsa TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/iyad-matar/
"Jabr Abu Hadrous",Killed,"December 29, 2023","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/jabr-abu-hadrous/
"Jamal Al-Faqaawi",Killed,"October 25, 2023","Israel and the Occupied Palestinian Territory","Mithaq Media Foundation",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/jamal-al-faqaawi/
"Jamal Mohamed Haniyeh",Killed,"November 21, 2023","Israel and the Occupied Palestinian Territory",Amwaj,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/jamal-mohamed-haniyeh/
"Khalil Abu Aathra",Killed,"October 19, 2023","Israel and the Occupied Palestinian Territory","Al-Aqsa TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/khalil-abu-aathra/
"Mahdi Al-Mamluk",Killed,"November 11, 2024","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm TV",Confirmed,,https://cpj.org/data/people/mahdi-al-mamluk/
"Mahmoud Islim Al-Basos",Killed,"March 15, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Murder,https://cpj.org/data/people/mahmoud-islim-al-basos/
"Mahmoud Juhjouh",Killed,"May 16, 2024","Israel and the Occupied Palestinian Territory","Palestine Post",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mahmoud-juhjouh/
"Maisara Ahmed Salah",Killed,"November 30, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/maisara-ahmed-salah/
"Majd Fadl Arandas",Killed,"November 1, 2023","Israel and the Occupied Palestinian Territory",Al-Jamaheer,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/majd-fadl-arandas/
"Majed Kashko",Killed,"October 31, 2023","Israel and the Occupied Palestinian Territory","Palestine TV",Confirmed,,https://cpj.org/data/people/majed-kashko/
"Mamdouh Qanita",Killed,"November 30, 2024","Israel and the Occupied Palestinian Territory","Al-Aqsa TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mamdouh-qanita/
"Mariam Abu Dagga",Killed,"August 25, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Unknown,https://cpj.org/data/people/mariam-abu-dagga/
"Marwan Al Sawaf",Killed,"December 1, 2023","Israel and the Occupied Palestinian Territory","Alef Multimedia",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/marwan-al-sawaf/
"Moamen Abu AlOuf",Killed,"June 9, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/moamen-abu-alouf/
"Moamen Aliwa",Killed,"August 10, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Murder,https://cpj.org/data/people/moamen-aliwa/
"Moaz Abu Taha",Killed,"August 25, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Unknown,https://cpj.org/data/people/moaz-abu-taha/
"Mohamad Al-Bayyari",Killed,"November 2, 2023","Israel and the Occupied Palestinian Territory","Al-Aqsa TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamad-al-bayyari/
"Mohamad Al-Iff",Killed,"December 24, 2023","Israel and the Occupied Palestinian Territory",Al-Rai,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamad-al-iff/
"Mohamed Abu Hassira",Killed,"November 7, 2023","Israel and the Occupied Palestinian Territory",WAFA,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-abu-hassira/
"Mohamed Adel Abu Skheil",Killed,"March 28, 2024","Israel and the Occupied Palestinian Territory","Al-Aqsa Voice Radio, Shams News Agency",Confirmed,,https://cpj.org/data/people/mohamed-abu-skheil/
"Mohamed Azzaytouniyah",Killed,"December 24, 2023","Israel and the Occupied Palestinian Territory",Al-Rai,Confirmed,,https://cpj.org/data/people/mohamed-azzaytouniyah/
"Mohamed El Sayed Abu Skheil",Killed,"March 18, 2024","Israel and the Occupied Palestinian Territory","Al-Quds Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-el-sayed-abu-skheil/
"Mohamed El-Reefi",Killed,"March 15, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-el-reefi/
"Mohamed Jamal Sobhi Al-Thalathini",Killed,"January 11, 2024","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-jamal-sobhi-al-thalathini/
"Mohamed Khalifeh",Killed,"December 22, 2023","Israel and the Occupied Palestinian Territory","Al Aqsa TV",Confirmed,,https://cpj.org/data/people/mohamed-khalifeh/
"Mohamed Manhal Abu Armana",Killed,"July 13, 2024","Israel and the Occupied Palestinian Territory","Palestine Now",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-manhal-abu-armana/
"Mohamed Meshmesh",Killed,"July 15, 2024","Israel and the Occupied Palestinian Territory","Al-Aqsa Voice Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-meshmesh/
"Mohamed Mouin Ayyash",Killed,"November 23, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-mouin-ayyash/
"Mohamed Nabil Al-Zaq",Killed,"November 22, 2023","Israel and the Occupied Palestinian Territory","Al Quds",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-nabil-al-zaq/
